0 [4.00e-02, 5.10e+01]
600 [8.80e-03, 5.03e+01]
1200 [2.62e-02, 4.89e+01]
1800 [3.42e-02, 4.79e+01]
2400 [3.85e-02, 4.71e+01]
3000 [4.15e-02, 4.64e+01]
3600 [4.44e-02, 4.58e+01]
4200 [4.70e-02, 4.52e+01]
4800 [4.93e-02, 4.47e+01]
5400 [5.11e-02, 4.43e+01]
6000 [5.24e-02, 4.39e+01]
6600 [5.31e-02, 4.37e+01]
7200 [5.34e-02, 4.36e+01]
7800 [5.34e-02, 4.36e+01]
8400 [5.33e-02, 4.36e+01]
9000 [5.33e-02, 4.36e+01]
9600 [5.31e-02, 4.36e+01]
10200 [5.33e-02, 4.36e+01]
10800 [5.31e-02, 4.36e+01]
11400 [5.31e-02, 4.36e+01]
12000 [5.30e-02, 4.36e+01]
12600 [5.30e-02, 4.36e+01]
13200 [5.31e-02, 4.36e+01]
13800 [5.31e-02, 4.36e+01]
14400 [5.31e-02, 4.36e+01]
15000 [5.29e-02, 4.36e+01]
15600 [5.25e-02, 4.36e+01]
16200 [5.26e-02, 4.35e+01]
16800 [5.30e-02, 4.34e+01]
17400 [5.32e-02, 4.33e+01]
18000 [5.31e-02, 4.33e+01]
18600 [5.31e-02, 4.33e+01]
19200 [5.31e-02, 4.33e+01]
19800 [5.31e-02, 4.33e+01]
20000 [5.31e-02, 4.33e+01]
